index,ROUTE,NOMGARE,X,Y
0,A0709,Vendargues,3.992643,43.654448
1,A0709,Montpellier est,3.933571,43.606631
2,A0709,Montpellier sud,3.893626,43.587197
3,A0709,Montpellier ouest,3.875141,43.573942
4,A0709,St-Jean-de-Vedas,3.835266,43.564813
5,A0009,Sete,3.683459688948031,43.48122735717295
6,A0009,Agde Pezenas,3.415880824819294,43.37686025015687
7,A0009,Beziers ouest,3.2229492234270127,43.30366439969685
8,A0009,Narbonne est ,3.034479741724844,43.17658759196941
9,A0009,Narbonne sud,2.9938759616687687,43.16306781794761
10,A0009,Sigean ,2.952680247507517,43.03324744634108
11,A0009,Leucate,2.9698643577185457,42.93907971549383
12,A0009,Perpignan nord,2.895039492321414,42.78280442962276
13,A0009,Perpignan sud,2.8613664204239813,42.6641690342507
14,A0009,Le Boulou  (peage sys ferme),2.8198963845755936,42.52525130045104
15,A0709,Frontiere Espagnole,2.865466,42.46467
16,A0061,Lezignan,2.741912270324747,43.16889563758959
17,A0061,Carcassone est,2.419899809802155,43.1946064250563
18,A0061,Carcassone ouest,2.3034122460909554,43.19487648956186
19,A0061,Bram,2.097387263014391,43.23639382092863
20,A0061,Castelnoudary,1.9450172595926865,43.28841170379598
21,A0061,Villefranche-de-Lauragais,1.6933276863029996,43.39605815569464
22,A0066,Nailloux,1.6219986708071876,43.38569743065547
23,A0066,Mazeres-Saverdun,1.6411430845593658,43.23520465874421
24,A0066,Pamiers nord,1.617546,43.147901
25,A0066,Pamiers sud,1.626227,43.134852
26,A0061,Montgiscard,1.584108,43.460656
27,A0061,Le palays,1.492243,43.557954
28,A0061,Montaudran,1.494927,43.57254
29,A0061,Lasbordes,1.493604,43.59388
30,A0061,Soupetrad,1.484764,43.607203
31,A0061,La Roseraie,1.47906,43.627612
32,A0062,La Croix Daurade,1.469016,43.644788
33,A0062,Borderouge,1.455103,43.646845
34,A0062,Les lzards,1.439821,43.647562
35,A0620,Sesquieres,1.421619,43.64774
